Route_Number,Peak_Incidents,Avg_Delay_Peak,Severe_Rate_Peak,Severe_30_Rate_Peak
1.0,94,15.064,0.33,0.085
2.0,99,32.657,0.364,0.222
5.0,573,33.548,0.689,0.187
6.0,1636,18.895,0.248,0.09
7.0,3430,12.652,0.08,0.038
8.0,247,31.789,0.785,0.316
9.0,813,22.071,0.791,0.077
10.0,289,15.484,0.415,0.093
11.0,1781,18.816,0.512,0.112
12.0,1696,21.482,0.677,0.125
13.0,210,48.529,0.867,0.429
14.0,710,43.027,0.914,0.237
15.0,386,25.591,0.503,0.212
16.0,1352,13.493,0.132,0.041
17.0,1656,19.117,0.435,0.125
19.0,374,32.019,0.655,0.184
20.0,839,32.518,0.527,0.11
21.0,1097,18.344,0.448,0.078
22.0,777,18.151,0.12,0.055
23.0,985,18.969,0.115,0.056
24.0,3252,12.369,0.187,0.032
25.0,2818,9.949,0.095,0.029
26.0,748,33.449,0.801,0.234
28.0,154,43.006,0.948,0.422
29.0,4830,13.132,0.114,0.048
30.0,477,26.245,0.908,0.193
31.0,395,23.033,0.304,0.099
32.0,5854,12.502,0.129,0.036
33.0,331,39.045,0.891,0.335
34.0,3527,13.232,0.221,0.05
35.0,3590,19.458,0.181,0.063
36.0,4702,10.869,0.12,0.038
37.0,1808,22.801,0.629,0.09
38.0,1370,16.652,0.288,0.042
39.0,3203,14.885,0.382,0.04
40.0,912,20.247,0.565,0.094
41.0,3101,21.033,0.255,0.067
42.0,1784,18.817,0.377,0.064
43.0,1959,16.213,0.302,0.054
44.0,1316,10.35,0.109,0.025
45.0,2018,14.61,0.331,0.043
46.0,901,20.781,0.41,0.084
47.0,2454,20.915,0.526,0.077
48.0,258,21.492,0.64,0.163
49.0,298,17.037,0.47,0.121
50.0,400,21.302,0.558,0.085
51.0,1260,25.648,0.859,0.138
52.0,5722,17.656,0.518,0.048
53.0,3610,13.791,0.254,0.042
54.0,4344,14.622,0.204,0.049
55.0,255,39.306,0.922,0.341
56.0,836,26.602,0.762,0.133
57.0,1062,17.116,0.258,0.064
59.0,822,36.378,0.726,0.343
60.0,3516,16.497,0.152,0.056
61.0,784,18.353,0.459,0.059
62.0,601,30.709,0.795,0.09
63.0,3821,14.154,0.122,0.059
64.0,875,26.342,0.159,0.087
65.0,956,20.056,0.32,0.062
66.0,676,19.624,0.543,0.049
67.0,640,19.544,0.472,0.086
68.0,1709,19.154,0.441,0.121
69.0,519,19.355,0.487,0.054
70.0,928,19.397,0.649,0.061
71.0,668,33.307,0.507,0.109
72.0,1937,20.162,0.427,0.06
73.0,1312,23.903,0.704,0.12
74.0,431,29.36,0.923,0.139
75.0,1904,15.863,0.192,0.062
76.0,1053,13.622,0.165,0.067
77.0,257,58.852,0.49,0.245
78.0,396,25.896,0.833,0.212
79.0,1513,20.441,0.448,0.104
80.0,546,32.766,0.929,0.429
81.0,725,12.034,0.113,0.034
82.0,169,53.491,0.74,0.243
83.0,443,24.797,0.368,0.097
84.0,2338,19.84,0.384,0.117
85.0,3103,16.816,0.468,0.059
86.0,2433,14.998,0.398,0.037
87.0,1841,15.586,0.093,0.04
88.0,968,22.857,0.525,0.122
89.0,2432,12.861,0.151,0.044
90.0,1237,11.436,0.086,0.044
91.0,890,24.946,0.587,0.076
92.0,609,13.719,0.128,0.034
93.0,111,41.73,0.766,0.505
94.0,1910,25.098,0.486,0.072
95.0,4226,13.851,0.238,0.037
96.0,2581,23.214,0.755,0.083
97.0,1714,35.842,0.911,0.652
98.0,591,32.981,0.919,0.401
99.0,121,21.512,0.562,0.116
100.0,2150,14.197,0.173,0.046
101.0,169,29.621,0.692,0.343
102.0,4080,18.553,0.42,0.092
103.0,84,52.524,0.94,0.238
104.0,574,24.263,0.747,0.108
105.0,589,19.912,0.492,0.104
106.0,1044,22.807,0.274,0.079
107.0,594,49.953,0.84,0.303
108.0,1269,32.648,0.583,0.134
109.0,812,29.207,0.783,0.302
110.0,913,24.405,0.583,0.099
111.0,737,18.988,0.347,0.058
112.0,902,22.606,0.762,0.072
113.0,685,27.012,0.639,0.121
114.0,119,17.244,0.151,0.042
115.0,360,30.511,0.878,0.211
116.0,2816,11.792,0.109,0.035
117.0,240,23.929,0.312,0.067
118.0,472,32.86,0.962,0.379
119.0,193,24.301,0.881,0.119
120.0,354,32.757,0.958,0.585
121.0,1264,42.343,0.73,0.188
122.0,952,22.959,0.48,0.162
123.0,1025,22.565,0.717,0.083
124.0,896,11.273,0.192,0.032
125.0,536,14.556,0.246,0.086
126.0,375,30.616,0.877,0.296
127.0,546,34.09,0.907,0.223
129.0,1600,17.418,0.391,0.091
130.0,505,31.323,0.923,0.271
131.0,1275,16.422,0.243,0.052
132.0,467,29.58,0.475,0.171
133.0,1628,14.388,0.152,0.045
134.0,1160,24.041,0.528,0.086
135.0,284,35.123,0.827,0.158
139.0,59,24.136,0.898,0.119
141.0,249,24.751,0.755,0.522
142.0,450,29.642,0.809,0.509
143.0,707,22.321,0.719,0.132
144.0,527,21.334,0.683,0.123
145.0,324,29.216,0.883,0.639
154.0,63,35.762,0.937,0.111
160.0,616,34.416,0.886,0.213
161.0,1258,26.607,0.594,0.09
162.0,363,60.774,0.906,0.804
163.0,53,11.66,0.094,0.0
165.0,2746,13.843,0.173,0.074
167.0,265,29.804,0.823,0.468
168.0,1451,13.442,0.217,0.039
169.0,481,35.794,0.942,0.732
171.0,75,31.827,0.893,0.16
172.0,149,40.738,0.678,0.295
185.0,685,13.38,0.21,0.047
186.0,428,14.152,0.168,0.065
188.0,254,11.587,0.189,0.016
189.0,94,36.872,0.947,0.181
190.0,585,10.706,0.197,0.031
191.0,1017,12.142,0.141,0.035
192.0,369,11.35,0.106,0.022
195.0,883,27.142,0.144,0.088
196.0,2362,6.094,0.074,0.011
198.0,396,13.045,0.106,0.033
199.0,2452,10.55,0.109,0.029
202.0,61,46.574,0.951,0.607
224.0,69,29.826,0.696,0.464
300.0,176,18.631,0.386,0.153
320.0,226,9.832,0.142,0.075
501.0,309,10.126,0.068,0.026
504.0,196,6.582,0.082,0.031
505.0,66,14.379,0.136,0.076
506.0,249,13.92,0.141,0.06
510.0,65,7.354,0.062,0.015
511.0,71,7.859,0.085,0.028
512.0,226,10.088,0.119,0.049
600.0,511,2.268,0.022,0.006
601.0,75,1.0,0.0,0.0
602.0,68,1.221,0.0,0.0
606.0,68,1.338,0.015,0.0
607.0,57,1.246,0.018,0.0
610.0,52,1.154,0.0,0.0
701.0,147,1.0,0.0,0.0
702.0,98,1.092,0.0,0.0
704.0,142,1.282,0.0,0.0
706.0,136,1.0,0.0,0.0
707.0,226,1.146,0.0,0.0
709.0,638,2.502,0.002,0.0
710.0,112,1.0,0.0,0.0
719.0,76,1.368,0.0,0.0
720.0,59,1.0,0.0,0.0
757.0,153,1.856,0.033,0.0
759.0,89,1.326,0.0,0.0
771.0,119,1.227,0.0,0.0
801.0,112,2.071,0.0,0.0
807.0,73,1.562,0.0,0.0
900.0,578,10.794,0.083,0.031
902.0,606,14.851,0.162,0.033
903.0,405,14.39,0.195,0.044
904.0,195,17.903,0.636,0.036
905.0,713,16.22,0.268,0.048
924.0,495,12.531,0.075,0.024
925.0,939,13.824,0.135,0.044
927.0,1096,12.907,0.069,0.036
929.0,1345,13.584,0.075,0.051
935.0,1204,19.396,0.13,0.06
937.0,472,16.252,0.269,0.068
939.0,2152,15.463,0.223,0.044
941.0,535,18.966,0.492,0.067
944.0,245,14.184,0.065,0.045
945.0,544,11.184,0.092,0.037
952.0,752,17.045,0.158,0.057
953.0,473,18.871,0.279,0.074
954.0,297,11.983,0.03,0.027
960.0,1189,15.329,0.113,0.056
968.0,177,20.232,0.384,0.09
984.0,582,12.026,0.112,0.024
985.0,1107,15.306,0.213,0.049
986.0,457,12.094,0.079,0.028
989.0,570,18.221,0.368,0.068
995.0,620,15.284,0.323,0.056
996.0,823,14.578,0.089,0.047
999.0,61,8.016,0.18,0.016
